browser,date_watched,video_title,video_url
chrome,2024-02-16,5 BEST Stocks to buy in THE rising stock market | Akshat Shrivastava - YouTube,https://www.youtube.com/watch?v=vzk9qK8tqXE
chrome,2024-02-16,NEW! Taarak Mehta Ka Ooltah Chashmah | Ep 4009 | 16 Feb 2024 | Teaser - YouTube,https://www.youtube.com/watch?v=WkJqCe9Yiik
chrome,2024-02-16,"Taarak Mehta Ka Ooltah Chashmah | तारक मेहता का उल्टा चश्मा | Episode 1777 | 27th February, 2021 - YouTube",https://www.youtube.com/watch?v=9DPifB9cKOE
chrome,2024-02-16,Popatlal को Papa बनाके Tapu लाया College | Taarak Mehta Ka Ooltah Chashmah | Popatlal Bana Jetha - YouTube,https://www.youtube.com/watch?v=q_7uYhPe-Ok
chrome,2024-02-15,LIVE: Introducing Red Bull Racing's 2024 Challenger - YouTube,https://www.youtube.com/watch?v=PGL788cIJRA
chrome,2024-02-14,India Today Live TV: Farmers Protest LIVE News | Abu Dhabi Temple News LIVE | PM Modi In UAE LIVE - YouTube,https://www.youtube.com/watch?v=Kzdw3d-U5wI
chrome,2024-02-14,Nifty Prediction and Bank Nifty Analysis for Thursday | 15 February 24 | Bank NIFTY Tomorrow - YouTube,https://www.youtube.com/watch?v=cQ4BMlPcHts&list=RDCMUCf6PIMsGE2g0rSRbMSlA2oQ&start_radio=1
chrome,2024-02-14,How to Prove Funds for F-1 Visa Interview (Legally) - YouTube,https://www.youtube.com/watch?v=lGwPdUEbI9o
chrome,2024-02-13,What is Purchasing Power Parity? GDP by Purchasing Power Parity | India's GDP - YouTube,https://www.youtube.com/watch?v=Qhmj3Bo7Lt8&t=29
chrome,2024-02-13,What is Purchasing Power Parity? GDP by Purchasing Power Parity | India's GDP - YouTube,https://www.youtube.com/watch?v=Qhmj3Bo7Lt8&t=308s
chrome,2024-02-13,YouTube,https://www.youtube.com/watch?v=NKGZpZesNvQ
chrome,2024-02-13,Nifty Prediction and Bank Nifty Analysis for Wednesday | 14 February 24 | Bank NIFTY Tomorrow - YouTube,https://www.youtube.com/watch?v=NKGZpZesNvQ&t=325
chrome,2024-02-13,Modi Vs Owaisi Over ‘Muslims’ Attack | Watch Fiery Parliament Speeches | How PM Answered AIMIM MP - YouTube,https://www.youtube.com/watch?v=88SvDfW53hM
chrome,2024-02-13,Next 6 months - BIG RALLY in the market [Interest Rate Cuts Explained]| Akshat Shrivastava - YouTube,https://www.youtube.com/watch?v=A55Ehtvk2AE
chrome,2024-02-13,Indian PM Modi to Inaugurate UAE's First Hindu Temple | Vantage with Palki Sharma - YouTube,https://www.youtube.com/watch?v=ltNOgWmzmyM
chrome,2024-02-13,Rahul Kanwal LIVE: Nirmala Sitharaman Exclusive On Budget 2024 LIVE | Budget 2024 Highlights LIVE - YouTube,https://www.youtube.com/watch?v=I-Adwi9keKo
chrome,2024-02-12,NEW! Taarak Mehta Ka Ooltah Chashmah | Ep 4005 | 12 Feb 2024 | Teaser - YouTube,https://www.youtube.com/watch?v=mXIY1qCxOtQ
chrome,2024-02-12,Nifty Prediction and Bank Nifty Analysis for Tuesday | 13 February 24 | Bank NIFTY Tomorrow - YouTube,https://www.youtube.com/watch?v=Os27xyzPp0s
chrome,2024-02-12,The key Mercedes change revealed by Aston Martin’s 2024 F1 car - YouTube,https://www.youtube.com/watch?v=xZPAK9iTpYQ
chrome,2024-02-12,The BIG questions of F1 2024 | PODCAST - YouTube,https://www.youtube.com/watch?v=2dMnXX--Hkg
chrome,2024-02-11,Nifty Prediction and Bank Nifty Analysis for Monday | 12 February 24 | Bank Nifty Tomorrow - YouTube,https://www.youtube.com/watch?v=i_sQstRSUng
chrome,2024-02-09,OnePlus 12 Review: Better Than You Think! - YouTube,https://www.youtube.com/watch?v=B-d97ZrAJZ0
chrome,2024-02-07,AWS ML Summit 2021 | Analyzing social media for suicide risk using natural language processing - YouTube,https://www.youtube.com/watch?v=PPtdy8EZHR0
chrome,2024-02-06,Why I'm investing in Microcap now? (How to identify profitable Microcap stocks) | Akshat Shrivastava - YouTube,https://www.youtube.com/watch?v=Y7DwDjYrmXU&t=422s
chrome,2024-02-06,"Sanjiv Bhasin's Analytics On Q3 Earnings, OMCs, Paytm, Top Stock Picks & More | ET Now - YouTube",https://www.youtube.com/watch?v=vy_jd6vrdYQ
chrome,2024-02-06,Nifty Prediction and Bank Nifty Analysis for Wednesday | 7 February 24 | Bank NIFTY Tomorrow - YouTube,https://www.youtube.com/watch?v=tu4cKIkkrmY
chrome,2024-02-06,AI-900 | Microsoft Azure AI Fundamentals | Real Exam Que & Ans |New Course | 100% Pass | Free pdf - YouTube,https://www.youtube.com/watch?v=w94__lFmk0U&t=829s
chrome,2024-02-05,“Introspect please” FM Sitharaman schools Adhir Ranjan over his ‘Partiality’ remarks in Lok Sabha - YouTube,https://www.youtube.com/watch?v=4o5wLjykBBY
chrome,2024-02-02,3rd Year Anniversary CELEBRATE KARNE MUMBAI KE BAHAR NIKAL GAYE - YouTube,https://www.youtube.com/watch?v=FNyhJCduWyE
chrome,2024-02-02,Nifty Prediction and Bank Nifty Analysis for Monday | 5 February 24 | Bank Nifty Tomorrow - YouTube,https://www.youtube.com/watch?v=zdLWW3217Sw
chrome,2024-01-26,PM Modi LIVE | Ayodhya Ram Mandir LIVE | Shri Ram Lalla Pran Pratishtha - YouTube,https://www.youtube.com/watch?v=EU4fJn0YdXw
chrome,2024-01-25,HARLEY RIDE IN MELBOURNE | Formula 1 ke track pe bike chalayi - YouTube,https://www.youtube.com/watch?v=ftRexaj0w6U
chrome,2024-01-25,NEW! Taarak Mehta Ka Ooltah Chashmah | Ep 3989 | 24 Jan 2024 | Teaser - YouTube,https://www.youtube.com/watch?v=poKvSt3IFBw
chrome,2024-01-25,Pallavi And Jaidev's Fight | Aangan Aapno Kaa | Ep 7 | Full Episode | 18 Dec 2023 - YouTube,https://www.youtube.com/watch?v=1AbrOhXGkZY
chrome,2024-01-25,Spring 2025 Official Timeline || Yash Mittra - YouTube,https://www.youtube.com/watch?v=lceDXtBGDLk
chrome,2024-01-25,Ram Mandir: The Untold Truth about Ram's Exile | Dhruv Rathee - YouTube,https://www.youtube.com/watch?v=boALQYYMbTI
chrome,2024-01-25,FINALLY REACHED MELOBOURNE AUSTRALIA AFTER 13 YEARS - YouTube,https://www.youtube.com/watch?v=aNj7XUR9cqQ
chrome,2024-01-25,Northeastern University | 4K Campus Drone Tour - YouTube,https://www.youtube.com/watch?v=rWB_thEvs20
chrome,2024-01-11,NEW! Taarak Mehta Ka Ooltah Chashmah | Ep 3977 | 10 Jan 2024 | Teaser - YouTube,https://www.youtube.com/watch?v=qIMZx2RdP0U
chrome,2024-01-11,Virat Kohli & Rahul Subramanian bring one8 Commune in Namma Bangalore - YouTube,https://www.youtube.com/watch?v=3Z1PgyhnpJ8
chrome,2024-01-11,"PM Modi's speech at the Vibrant Gujarat Global Summit, 2024 - YouTube",https://www.youtube.com/watch?v=w_QqqKDxkSk
chrome,2024-01-11,Amit Shah in Aap Ki Adalat: Amit Shah ने Congress पर क्या कहा? | Rajat Sharma - YouTube,https://www.youtube.com/watch?v=sREn6ZbyBdw
chrome,2024-01-11,Narcotics | Stand-up Comedy | Aakash Gupta - YouTube,https://www.youtube.com/watch?v=inLh-UAWu_g
chrome,2024-01-11,"Vibrant Gujarat Global Summit, a tribute to PM Modi's vision & consistency, says Mukesh Ambani - YouTube",https://www.youtube.com/watch?v=JYnOtueVfJE
chrome,2024-01-11,LIVE: Union Home Minister Shri Amit Shah at Agenda AajTak. #AmitShahOnAajTak - YouTube,https://www.youtube.com/watch?v=eIbMMs2CXbo
chrome,2024-01-11,"LIVE: PM Modi inaugurates the Vibrant Gujarat Summit 2024 in Gandhinagar, Gujarat - YouTube",https://www.youtube.com/watch?v=iUAJq4EVsEE
chrome,2024-01-11,Best USA Universities with Highest ROI for Average Profiles - YouTube,https://www.youtube.com/watch?v=kH4G_SJPGyM
chrome,2024-01-11,My Admits and Rejects | Why did I Apply to so many Universities | DO NOT REPEAT THE SAME MISTAKE !! - YouTube,https://www.youtube.com/watch?v=XaBItQ0QgNE
chrome,2024-01-11,PROS AND CONS OF NORTHEASTERN UNIVERSITY | FALL 2021 - YouTube,https://www.youtube.com/watch?v=owQHoRcaA2Y
chrome,2024-01-11,Socha Nahi tha Pihudi Itni Badi Draamebaz Nikalegi !! - YouTube,https://www.youtube.com/watch?v=p1BeT_IraGM
chrome,2024-01-11,THE PROBLEM WITH MY EV CAR | - YouTube,https://www.youtube.com/watch?v=UnoPgREhhOc
chrome,2024-01-11,Babita जी के घर नहाने के लिए आया Jethalal | Taarak Mehta Ka Ooltah Chashmah | Pani Ki Chinta Part 1 - YouTube,https://www.youtube.com/watch?v=s_MjHuJmURw
chrome,2024-01-11,BHAI KA NEW RESTAURANT | SAB DOSTO KE DHEK KE SEEK RAHA HUO - YouTube,https://www.youtube.com/watch?v=xPW3_Ls7hXg
chrome,2024-01-11,Guenther Steiner’s bombshell Haas F1 exit explained - YouTube,https://www.youtube.com/watch?v=VDydteT7GIQ
